epoch,accuracy,loss,val_accuracy,val_loss
0,0.36811513,1.3255276107537328,0.47838616371154785,1.27450141267749
1,0.64821476,0.9875068254593565,0.6628242135047913,0.9197806391317493
2,0.7929698,0.5893614979091193,0.7060518860816956,0.7959190930000987
3,0.8557985,0.4141118934931202,0.6685879230499268,0.8165825450798276
4,0.88679767,0.32845084703664784,0.6974063515663147,0.8164599627170508
5,0.9106006,0.2662682987269093,0.6887608170509338,0.8922390236978228
6,0.9272073,0.22002439180668984,0.6945244669914246,0.9555024307124553
7,0.94464433,0.1820796707718781,0.6685879230499268,1.0143984095851009
8,0.9521174,0.15255176714177346,0.680115282535553,1.0812078178444238
9,0.9584833,0.13426342025015647,0.680115282535553,1.1921183643835767
10,0.9648492,0.11870089485940265,0.6743515729904175,1.1812955158244636
11,0.9662331,0.10945048081538303,0.7060518860816956,1.223523023149122
12,0.9687241,0.10448233068088333,0.680115282535553,1.3041702811243898
13,0.97342926,0.08906086841729616,0.6829971075057983,1.3257545328964762
14,0.97093827,0.08850574273478942,0.6916426420211792,1.366794439832484
15,0.9742596,0.08449107990310177,0.680115282535553,1.4357366139332224
16,0.97259897,0.0809066921117858,0.6829971075057983,1.4628379142250039
17,0.9756435,0.07549628313891682,0.6858789920806885,1.4485627979641345
18,0.97647387,0.07597562589458637,0.6916426420211792,1.454996003884747
19,0.97647387,0.07115826178151355,0.6772334575653076,1.5304118539139586
20,0.9745364,0.07070047049887566,0.680115282535553,1.578715952397767
21,0.97592026,0.06648559040997519,0.6829971075057983,1.6005328381782993
22,0.97896487,0.06183808341306842,0.6916426420211792,1.659580656705741
23,0.97730416,0.06938079574861719,0.6743515729904175,1.6731157508982017
24,0.97619706,0.06291888988662667,0.6829971075057983,1.6717942204186826
